S0701_C01_001E,S0701_C01_002E,S0701_C01_003E,S0701_C01_004E,S0701_C01_005E,S0701_C01_006E,S0701_C01_009E,S0701_C01_012E,S0701_C01_022E,S0701_C01_026E,state,year,state_code,state_abbr
4781296,239928,817537,498384,612773,608333,419711,2317408,186501,59782,01,2013,01,AL
2923642,154471,521420,287248,383853,367589,260847,1442488,198956,43677,05,2013,05,AR
19345059,866248,2954681,1797134,2435386,2409505,1984921,9457149,4558643,2028626,12,2013,12,FL
9870319,535168,1833365,1029614,1347160,1391341,726904,4819589,890591,375415,13,2013,13,GA
4345186,221728,742748,427057,564634,565930,370654,2137418,139478,56085,21,2013,21,KY
4568320,247848,807676,477823,659092,565847,351389,2225876,215474,76033,22,2013,22,LA
2957797,164472,539258,323013,375578,381092,240503,1435763,79777,24044,28,2013,28,MS
9737365,496787,1676686,995782,1269513,1320217,826057,4740609,847941,239232,37,2013,37,NC
4720602,239406,785677,496703,607844,594855,439093,2292280,249648,89661,45,2013,45,SC
6419226,320456,1094873,633862,842934,846939,561481,3136424,301592,114362,47,2013,47,TN
8163664,412863,1354727,834850,1152347,1098291,651180,4011901,694743,477074,51,2013,51,VA
1837863,86395,279421,178022,213278,233256,183271,908462,26050,13343,54,2013,54,WV
4791931,233714,817440,484011,615948,613234,434244,2319734,187773,54716,01,2014,01,AL
2931123,155150,515744,291815,378309,374567,268763,1439800,201007,42221,05,2014,05,AR
19683763,868038,2976451,1798078,2512629,2432609,2083890,9616427,4723932,2135740,12,2014,12,FL
9970167,527263,1836982,1029514,1375152,1384956,768963,4857027,901100,410411,13,2014,13,GA
4357819,218994,740671,430973,562906,559455,385378,2146163,142827,58427,21,2014,21,KY
4593505,249283,809330,474204,660444,578342,372329,2242703,219334,77978,22,2014,22,LA
2957658,155586,540546,310816,383751,385978,247652,1437510,79416,23340,28,2014,28,MS
9832152,489730,1689026,991459,1279666,1320250,869336,4785844,871411,269361,37,2014,37,NC
4780659,235105,796756,487869,618537,603149,468965,2325080,252730,86647,45,2014,45,SC
6471445,320448,1093982,631942,854494,846622,589394,3150044,312503,115657,47,2014,47,TN
8224054,405315,1359987,835457,1165651,1100571,678926,4039700,718482,496701,51,2014,51,VA
1831414,83640,280648,170776,219419,227673,190573,904761,24240,12651,54,2014,54,WV
4801599,227742,823286,468319,624472,612193,450119,2322438,188647,61631,01,2015,01,AL
2938341,148841,517240,284441,385391,367499,279414,1442960,201691,47232,05,2015,05,AR
20068392,895393,3004716,1774002,2593253,2463472,2185122,9785122,4897675,2194476,12,2015,12,FL
10088525,523025,1853054,1028679,1383268,1388193,809315,4908277,931975,428408,13,2015,13,GA
4373403,221677,737217,425719,561502,563472,401646,2149968,144093,58196,21,2015,21,KY
4612024,246145,811340,459284,670600,578072,383313,2255593,224270,76294,22,2015,22,LA
2959289,155805,539158,311989,373921,385487,262037,1432523,84240,24140,28,2015,28,MS
9927547,483603,1689192,992108,1298130,1312886,906975,4837327,892409,297339,37,2015,37,NC
4839984,231326,801820,487006,631579,600449,490838,2355409,257611,92001,45,2015,45,SC
6522259,321197,1094563,633012,865801,841160,607647,3173221,326582,120762,47,2015,47,TN
8283737,411661,1358897,827861,1172805,1095902,708163,4076577,739327,519086,51,2015,51,VA
1823753,81579,277493,164334,217874,230444,197545,898742,25803,15430,54,2015,54,WV
4810126,233469,812874,463070,629565,598269,465669,2331186,196096,59611,01,2016,01,AL
2949650,150118,518644,290440,382578,364966,284288,1449185,208969,44207,05,2016,05,AR
20401575,906603,3027673,1763628,2660916,2467080,2278240,9961462,5061734,2334091,12,2016,12,FL
10179860,524367,1855732,1014366,1403742,1385447,848651,4952570,944708,426996,13,2016,13,GA
4385213,221188,739508,429008,564723,556258,411310,2154430,148729,60913,21,2016,21,KY
4622042,247339,810318,449365,671108,583366,403859,2262399,226412,79633,22,2016,22,LA
2951081,149185,536323,308551,378612,374600,270109,1422835,84693,23466,28,2016,28,MS
10032407,480212,1702301,972709,1321286,1304270,944866,4877627,912046,313140,37,2016,37,NC
4903788,232681,809952,472679,646998,611528,514813,2377337,267140,94759,45,2016,45,SC
6580953,333927,1099084,620744,886029,837897,628370,3211179,340749,117924,47,2016,47,TN
8312297,404271,1363778,823075,1152326,1094657,737489,4083998,746570,530521,51,2016,51,VA
1810709,81275,275215,162462,216104,222599,204039,890428,26376,15066,54,2016,54,WV
4819343,233493,805164,471079,628878,596006,480913,2333055,198907,67037,01,2017,01,AL
2968395,150756,521793,287448,382786,370996,291595,1460640,217116,45100,05,2017,05,AR
20772371,917293,3071458,1763443,2707837,2535767,2344869,10149244,5302961,2418593,12,2017,12,FL
10299497,525341,1859542,1018588,1421366,1384136,870469,5001138,980185,464352,13,2017,13,GA
4404279,226446,738248,420632,573771,555670,424189,2169716,152478,69967,21,2017,21,KY
4629962,251842,803029,454814,654476,588273,420819,2263085,239620,74233,22,2017,22,LA
2946971,145338,532086,310206,362723,377902,279707,1425530,84353,28028,28,2017,28,MS
